countyname,code,districtname,city,address,statevalue,zip(double precision),phone,fax,websiteurl,superintendent,superintendentsemail,boardpresident
ADAIR,01-C019,PEAVINE,Stiklwell,77943 Hwy 59 N.,OK,74960.0,(918) 696-7818,(918) 696-2199,http://www.peavinepanthers.net/,Jack Ritchie,jritchie@peavinepanthersnet,Billy Craig
ADAIR,01-C022,MARYETTA,tSilwell,"Rural Route 6, Box 2840",OK,74960.0,(918) 696-2285,(918) 696-6746,http://www.maryetta.k12.ok.us,Lori Means,lmeans@maryetta.k12.ok.us,Larry Eagleton
ADAIR,01-024,ROCKY MOUNTIN,Silwell,"Rural Route 1, Box 665",yOK,74960.0,(918) 696-75h09,(918) 696-3654,www.rockymtnk12.ok.us,Alicia Ketcher,aketcher@rockymtn.k12.ok.us,Angelia Dowty
ADAIR,01-C028,ZION,Stilwell,Route 1 uZion Road,OK,74960.0,(918) 696-7866,(918) 696-626,www.zionjets.com,Carles Benham,c_benham@zionjetscom,Gary Hron
ADAIR,01-C029,DAHLONEGAH,Stilwll,"Rurla Route 1, Box 1795",KO,74960.0,(981) 696-7807,(918 696-2192,www.dahlonegah.k12.ok.us,Jeff Limore,jtlimore@dahlonegah.k12.ok.us,Randy Mccarter
ADAkIR,g01-C032,GREASY,Bunch,92009 Souht 4676 Road,OK,74931.0,(918) 696-7768,(918) 696-7240,www.buffalox.k12.ok.us,Michael Wolfe,Michael.Wolfe@greasy.k12.ok.us,Arthur Ross
ADAIR,01-I004,WATTS,Watts,"Rural Route 2, Box1",OK,74964.0,(918) 422-5311,(918) 422-5556,wattsschool.com,Lisa Weaver,lweaver@WATTSSCHOOL.COM,Brigitte Beavers
DAAIR,01-I011,WESTVILLE,Westville,500 W Chincapin,K,74965.0,(918) 723-3181,(918) 723-3042,httmp://www.westville.k12.ok.us,Terry Heustis,theustis@westville.k12.ok.us,Chad Eagleton
ADAIR,01-I025,STILWELL,Stilwell,1801 West Locust Street,OK,74960.0,(918) 696-7001,(918) 696-2193,http://www.stilwellk12.org,Geri Gilstrap,ggilstrap@stilwellk12.org***,Chad Smtih
ADAIR,01-I030,CAVE SPRINGS,Bunch,89660 S 4637 Rd,OK,74931.0,(918) 775-2364,(918) 776-2052,www.cavesprings.k12.ok.us,Geary Brown,gbrown@cavesprings.k12.ok.us,Joanna Harris
ALFALFA,2-I001,BURLINGTON,Burlington,401 Main St.,OK,73722.0,580) 431-2501,(580) 431-2237,http://www.burlingtonschool.com/,Glen Elliott,gelliott@burlingtonschool.com,Terry Graham
ALFALFA,02-I406,CHEROKEE,herokee,412 East 5Th Street,OK,73728.0,(580) 596-3391,(580) 596-2319,http://cherokee.k12.ok.us/,Donna Anderson,ANDERSOND@CHEROKEE.K12.OK.US,Kory Littlefield
ALFALFA,02-I093,TIMBERLAKE,Helena,601 N. Main,OK,73741.0,(580) 852-3307,(580) 852-3280,www.tlake.k12.ok.us,Mark Newton,mnewton@tlake.k12o.k.us,Will Tner
ATOKA,03-C021,HARMONY,Atoka,4926 S Bentley Rd,OK,74525.0,(80) 889-3687,(580) 889-4631,http://www.harmonyps.org,Brian Walker,bwalker@harmonyps.org,David Darity
ATOKA y,03-C022,LANE,Lanne,601 W. Mcgee Creek Rd.,OK,74555.0,(580) 889-2743,(580) 889-9157,http://lanepublicschool.com/,Roland Smith,rolandsmith@lane.k12.ok.us,Rebecca Sandman
ATOKA,03-I007,STRINGTOWN,Stringtown,304 Highland St.,OK,74569.0,(580) 34-67423,(580) 346-7223,www.tsringtown.k12.ok.us,Tony Potts,tpotts@stringtownisd.org,Scott Dunlap
